chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL592201,Oc1c(Br)cc(Br)cc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,C21H17Br2FN2OS,1700.0,5.77,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL592224,Cc1cc(C)c(O)c(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1,C23H23FN2OS,10500.0,4.98,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589413,CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,C18H21ClN2OS,7400.0,5.13,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL606027,CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,C18H21BrN2OS,14200.0,4.85,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL591437,CCCCN(Cc1cccc(C)c1O)C(=S)Nc1ccccc1,C19H24N2OS,23600.0,4.63,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL591440,CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,C18H20Cl2N2OS,12800.0,4.89,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589590,CCCCN(Cc1cc(Br)cc(Br)c1O)C(=S)Nc1ccccc1,C18H20Br2N2OS,16700.0,4.78,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589365,Cc1cc(C)c(O)c(CN(Cc2ccccc2)C(=S)Nc2ccccc2)c1,C23H24N2OS,34100.0,4.47,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1077183,N#C[Se]CCCCCC(=O)Nc1ccccc1,C13H16N2OSe,8.9,8.05,Inhibition of human HDAC in human HeLa cell nuclear extract after 15 mins by colorimetric assay,Histone deacetylase
CHEMBL1089058,FS(F)(F)(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,C18H18F5NOS,3400.0,5.47,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
